instruction,input,response
Quelle compétition européenne la Karmine Corp a-t-elle remportée en 2021 après être passée de la deuxième division à la première division?,EMEA Masters,EMEA Masters
Combien de fois la Karmine Corp a-t-elle remporté le championnat européen au segment d'été?,Deux fois,Deux fois
Quel record la Karmine Corp a-t-elle battu au segment de printemps 2022?,Trois fois en triplé,Trois fois en triplé
Quelle équipe a remporté la ligue française et les EMEA Masters en 2023 ?,,l'équipe a remporté la ligue française et les EMEA Masters en 2023.
Quel accord la section League of Legends a-t-elle signé en 2023 ?,,La section League of Legends a signé un accord afin d'acquérir la place de l'équipe danoise Astralis.
Quelle ligue la section League of Legends a-t-elle rejoint en 2023 ?,,La section League of Legends a rejoint les League of Legends EMEA Championship (LEC).
Où la structure a-t-elle établi des locaux en fin d'année 2023 ?,,La structure a établi des locaux à Berlin.
Quel est le nom de l'événement organisé par la structure en 2021?,2021,Le premier Karmine Corp Experience (KCX)
Où s'est déroulée la deuxième édition du KCX en 2022?,2022,Au Palais omnisports de Paris-Bercy
Combien de spectateurs ont assisté au KCX3 en 2023?,2023,Plus de 28 000 spectateurs
Où le club devient-il résident en 2024?,2024,Aux Arènes de l'Agora
Qui est le jungler de la Karmine ?,,Jakub « Cinkrof » Rokicki
Quel joueur a rejoint l'équipe en tant que mid laner ?,,Lucas « Saken » Fayard
Quel est le rôle de Matthew « xMatty » Coombs dans l'équipe ?,,AD Carry
Qui est le support de la Karmine ?,,Raphaël «Targamas » Crabbé
Qui est le coach de l'équipe ?,,Yanis « Striker » Kella
Comment s'appelle l'équipe de League of Legends mentionnée dans le texte?,,Karmine Corp
Combien de victoires l'équipe de la Karmine a-t-elle remporté lors de la première moitié de segment impériale?,,9 victoires
Contre quelle équipe la Karmine Corp a-t-elle perdu en finale du segment impérial?,,Misfits Premier
Quelle était la marque de la victoire de Misfits Premier contre la Karmine Corp en finale?,,3-1
Quel événement international l'équipe de la Karmine a-t-elle accès en tant que vainqueurs de la saison régulière?,European Masters,Phase de groupes des European Masters
Quel est le titre détenu par l'équipe de la Karmine dans le tournoi European Masters?,,tenants du titre
Quel est le nom de l'équipe qui a renversé Vitality.Bee dans la Coupe de France ?,Vitality.Bee,Karmine Corp
Quel était le score final du match entre la Karmine Corp et Vitality.Bee ?,,3-2
Quelle équipe était menée 2-0 dans le match ?,,Karmine Corp
Contre quelle équipe la Karmine Corp va-t-elle jouer en finale à Monaco ?,Monaco,Misfits Premier
Quelle était l'issue des trois manches suivantes remportées par la Karmine Corp ?,,Se qualifier in extremis pour la finale à Monaco
Que fait la Karmine Corp juste avant le début de la compétition européenne ?,,Ils se rassurent
Quel était le résultat du dernier match de la Karmine Corp en finale de la Coupe de France?,"Nom de l'équipe Karmine Corp et Misfits Premier, date de la finale de la Coupe de France",La Karmine Corp a perdu contre Misfits Premier lors de la finale de la Coupe de France avec un score de 3-2.
Quel était le bilan de la Karmine Corp lors de la saison 2021 en LFL?,"Nom de l'équipe Karmine Corp, dates et résultats des matchs en LFL",Le bilan de la Karmine Corp lors de la saison 2021 en LFL était de 14 victoires et 5 défaites.
Quel était le bilan de la Karmine Corp lors de la participation à l'European Masters en 2021?,"Nom de l'équipe Karmine Corp, dates et résultats des matchs à l'European Masters",Le bilan de la Karmine Corp lors de sa participation à l'European Masters en 2021 était de 14 victoires et 5 défaites.
Quel était le résultat de la Karmine Corp lors de la Finale de la Coupe de France en octobre 2021?,"Nom de l'équipe Karmine Corp, date et résultats des matchs en Finale de la Coupe de France",La Karmine Corp a perdu contre Misfits Premier lors de la finale de la Coupe de France en octobre 2021 avec un score de 5-5.
"Qui a annoncé le départ de Cinkrof, Targamas et xMatty de l'équipe lors d'une conférence de presse le 15 novembre 2021?",date de la conférence de presse (15 novembre 2021),Kameto et Prime
Quel joueur suédois a rejoint la Karmine Corp en provenance de chez G2 Esports?,équipe d'origine du joueur (G2 Esports),Martin « Rekkles » Larsson
Combien aurait coûté le transfert de Martin « Rekkles » Larsson à la Karmine Corp?,nom du joueur transféré (Martin « Rekkles » Larsson),près d'un million d'euros
Qui a prolongé son contrat d'un an avec l'équipe?,aucun,Cabochard
Quels joueurs ont rejoint l'équipe librement?,aucun,"Jules « Hantera » Bourgeois, Doğukan « 113 » Balcı (Bumm) et Wao « Wao » Dai"
Quelle équipe a commencé mal le championnat mais s'est ensuite redressée en 4e semaine?,,La Karmine Corp
Combien de matchs la Karmine Corp a-t-elle perdus lors de ses six premiers matchs?,,Quatre
Où s'est déroulée la 4e semaine du championnat?,,À l'Acropolis de Nice
Contre quelle équipe la Karmine Corp a-t-elle remporté deux victoires écrasantes en 4e semaine?,GameWard,Oui
Qui a réalisé un Pentakill lors du match contre GameWard?,Rekkles,Rekkles
Quelle équipe a terminé deuxième de la saison régulière?,,La Karmine Corp
À combien de victoires des LDLC OL la Karmine Corp a-t-elle terminé en saison régulière?,,Une victoire
Quelle équipe a battu la Karmine Corp lors des play-offs de la LFL?,,LDLC OL
Comment s'est terminée la saison de la Karmine Corp lors des play-offs de la LFL?,,Ils ont terminé 3e
Quelle équipe a battu la Karmine Corp dans la demi-finale des perdants des play-offs de la LFL?,,Team BDS Academy
Quel tournoi la Karmine Corp est-elle qualifiée pour après les play-offs de la LFL?,,Amazon European Masters
Quel défi supplémentaire la Karmine Corp devra-t-elle relever pour le tournoi Amazon European Masters?,,Passer par un tour supplémentaire
Quelle équipe a remporté le tour préliminaire des Amazon European Masters?,Amazon European Masters,KC
Contre quelle équipe la KC a-t-elle eu un mauvais départ en groupe?,X7 Esports,X7 Esports
Contre qui la KC a-t-elle pris sa revanche en finissant premier de son groupe?,Les Anglais,les Anglais
Qui la KC a-t-elle battu en quarts-de-finale?,Unicorns of Love,l'équipe académique d'Unicorns of Love
Quelle équipe la Karmine Corp a-t-elle affrontée en demi-finale des European Masters?,Vitality.Bee,Vitality.Bee
Contre qui la KC a-t-elle remporté la finale des European Masters?,LDLC OL,LDLC OL
Combien de fois la Karmine Corp a-t-elle remporté les European Masters?,3èmes European Masters de suite,3
Quelle est l'équipe de e-sport mentionnée dans le texte ?,,Karmine Corp
Combien de rencontres la Karmine Corp a-t-elle remportées sur six au début du segment d'été ?,,cinq
Contre quelle équipe la Karmine Corp joue-t-elle son match de saison régulière ?,,Misfits Premier
Où se déroule le match de la Karmine Corp contre Misfits Premier ?,,à l'Accor Arena
Comment la série de victoires de la Karmine Corp se termine-t-elle ?,,par une défaite
Où la Karmine Corp se qualifie-t-elle pour les play-offs ?,,la dernière semaine
Dans quelle position la Karmine Corp termine-t-elle en saison régulière ?,,6e
Contre quelle équipe la Karmine Corp est-elle opposée dans les play-offs ?,,GameWard
Quels sont les résultats des matchs de la Karmine Corp lors de la saison 2022?,Aucune information supplémentaire requise,"Showmatch aller : 
                - Round 1 : 1-0 contre KOI
                - Round 2 : 1-1 contre KOI
                - Round 3 : 2-1 contre KOI
              Showmatch retour :
                - Round 1 : 1-0 contre KOI
                - Round 2 : 1-1 contre KOI
                - Round 3 : 2-1 contre KOI
              Segment Printanier :
                - Journées 1 à 18 : résultats contre différentes équipes
              2e tour des playoffs : 
                - Round 1 à 3 : résultats contre LDLC OL
              Demi-finale des playoffs :
                - Round 1 à 4 : résultats contre Team BDS Academy
              European Masters :
                - Phase préliminaire, Barrages, Phase de groupe, Quarts-de-finale, Demi-finale et Finale : résultats contre différentes équipes"
Quelle conséquence a eu la défaite de la KC lors des play-offs de LFL?,Aucune information supplémentaire requise,"La défaite a éliminé la KC des play-offs de LFL et les a empêchés de se qualifier aux European Masters, mettant fin à une série historique."
Quelles étaient les dates des différentes étapes de la compétition pour la Karmine Corp en 2022?,Aucune information supplémentaire requise,"Dates des showmatches, des journées de la LFL, des playoffs et des European Masters."
Qui rejoint l'équipe de la Karmine Corp pour la saison 2023 ?,,"Duncan « Skeanz » Marquet, Hasan « Kaori » Sentürk, Alexandru « whiteinn » Kolozsvari, Lucas « Cabochard » Simon-Meslet, Lucas « Saken » Fayard, Stefan « Nerroh » Pereira"
Qui rejoint l'équipe en tant qu'entraîneur ?,,Stefan « Nerroh » Pereira
Qui rejoint Kameto et Prime en tant que directeur de la structure ?,,Arthur Perticoz
Quel était le bilan de l'équipe durant le Winter Split ?,Winter Split,7 victoires pour 11 défaites
Qui sont les joueurs qui réintègrent l'équipe en prévision du Summer Split ?,Summer Split,Raphaël «Targamas » Crabbé et Jakub « Cinkrof » Rokicki
Qui remplace Kaori dans l'équipe ?,Kaori,Caliste « Caliste » Henry-Hennebert
Quel poste occupe Wadi dans l'équipe ?,Wadi,Analyste
Quelle équipe a remporté le championnat d'Europe en 2023 ?,2023,La Karmine Corp a remporté le championnat d'Europe en 2023.
"Qui est le ""midlaner"" français de l'équipe Karmine Corp ?","""midlaner""","Lucas ""Saken"" Fayard est le ""midlaner"" français de l'équipe Karmine Corp."
Quand la Karmine Corp a-t-elle annoncé son entrée à la LEC ?,LEC,La Karmine Corp a annoncé son entrée à la LEC le 18 octobre 2023.
Jusqu'à quelle année Caliste a-t-il prolongé son contrat avec la Karmine Corp ?,Caliste,Caliste a prolongé son contrat avec la Karmine Corp jusqu'en 2026.
Quelle a été la performance de la Karmine Corp lors du Winter Split de 2024 ?,"Winter Split, 2024",La Karmine Corp a fini dernière avec 2 victoires sur 9 lors du Winter Split de 2024.
Quelle a été la performance de la Karmine Corp lors du Spring Split de 2024 ?,"Spring Split, 2024",L'équipe arrive une nouvelle fois à la dernière place lors du Spring Split de 2024.
Qui est mis sur le banc et qui est appelé à rejoindre les rangs de la KC en tant que jungler ?,post de jungler,Zhou « Bo » Yang-Bo est mis sur le banc et Can « Closer » Çelik est appelé à rejoindre les rangs de la KC.
Quel joueur est recruté au profit de Lucas « Cabochard » Simon-Meslet en tant que toplaner ?,toplaner,Kim « Canna » Chang-Dong est recruté au profit de Lucas « Cabochard » Simon-Meslet.
Qui prend la place de Lucas « Saken » Fayard au poste de midlaner ?,midlaner,Vladimiros « Vladi » Kourtidis prendra la place de Lucas « Saken » Fayard au poste de midlaner.
Quelle équipe participe à la Trackmania Cup en 2020 ?,,La Karmine Corp participe à la Trackmania Cup en 2020.
Qui est le pilote français recruté par la Karmine Corp pour participer à la Trackmania Cup ?,,Romain « DarkeR » Dassonneville est recruté par la Karmine Corp pour participer à la Trackmania Cup.
Qui est annoncé comme pilote titulaire pour la Trackmania Grand League en 2020 ?,,Brendan « Bren » Seve est annoncé comme pilote titulaire pour la Trackmania Grand League en 2020.
Quand l'arrivée de Brendan « Bren » Seve en tant que pilote titulaire pour la Trackmania Grand League est-elle annoncée ?,,"L'arrivée de Brendan « Bren » Seve en tant que pilote titulaire pour la Trackmania Grand League est annoncée un mois après le 17 juillet 2020, soit le 22 août 2020."
Quel événement a marqué la création de la quatrième équipe de la Karmine Corp sur Rocket League?,,La création de la quatrième équipe de la Karmine Corp sur Rocket League a été annoncée lors de la Karmine Corp Xperience (ou KCX) le 26 juillet 2021.
Qui sont les joueurs qui composent la quatrième équipe de la Karmine Corp sur Rocket League?,,"Les joueurs qui composent la quatrième équipe de la Karmine Corp sur Rocket League sont Maëllo « AztraL » Ernst (Belge), Marc « Stake » Bosch (Espagnol) et Amine « itachi » Benayashi (Marocain)."
Quels tournois les joueurs de la Karmine Corp vont-ils participer?,,Les joueurs de la Karmine Corp vont participer au tournoi de pré-saison WePlay e-sport Invitational ainsi qu'aux Rocket League Championship Series 2021-2022.
Quel est le premier trophée remporté par la Karmine Corp ?,,Le premier trophée remporté par la Karmine Corp est obtenu sur Rocket League lors du tournoi WePlay e-sport Invitational.
Contre quelle équipe la Karmine Corp a remporté son premier trophée ?,,La Karmine Corp a remporté son premier trophée en battant Team BDS.
Quelle était l'annonce faite par l'organisation du tournoi concernant la finale ?,,"L'organisation du tournoi avait annoncé que la finale se jouerait dans un format particulier : deux manches gagnantes de matchs en quatre parties gagnantes, sans avantage pour le vainqueur de l'arbre des gagnants."
Combien de manches la Karmine Corp a-t-elle remporté contre Team BDS en finale ?,,La Karmine Corp a remporté les deux dernières manches contre Team BDS en finale.
Combien de dollars se partagent les différents membres de l'équipe de la Karmine Corp ?,,Les différents membres de l'équipe se partagent une dotation de 15 000 dollars.
Quel joueur l'équipe Karmine Corp a-t-elle recruté en avril 2022 pour remplacer Stake ?,Date (avril 2022),Joseph « noly » Kidd
Quel est le nom du coach principal de l'équipe Karmine Corp après le recrutement de Joseph « noly » Kidd en avril 2022 ?,Date (avril 2022),Wagner « Eversax » Benjamin
Comment s'est déroulée la performance de l'équipe Karmine Corp lors de la première étape de la RLCS ?,Nom de l'équipe (Karmine Corp),La Karmine Corp a terminé demi-finaliste lors de la première étape de la RLCS.
Pourquoi l'équipe Karmine Corp n'a-t-elle pas pu participer aux épreuves mondiales d'automne et d'hiver malgré s'être qualifiée à toutes les étapes ?,Nom de l'équipe (Karmine Corp),Ils n'ont pas réussi à marquer assez de points pour participer aux épreuves mondiales d'automne et d'hiver.
Qui est le coach de la Karmine en 2024 ?,date (27 octobre 2023),Victor « Ferra » Francal
Quels sont les joueurs qui ont rejoint la Karmine pour les Flip & Spin à la Paris Games Week 2023 ?,aucun,Rise et Noly
Quels sont les deux joueurs qui ont été officialisés en décembre 2023 pour compléter l'équipe de la Karmine ?,aucun,Rise et Atow
Quelles sont les dates des Open Qualifier d'Europe remportés par la Karmine en 2024 ?,aucune,"11 février, 25 février, 10 mars 2024"
Que permettent les 3 victoires consécutives de la Karmine aux Open Qualifier d'Europe ?,aucune,Qualification facile au tournoi majeur de Copenhague et Seed 1 du Major 1
Contre quelle équipe la Karmine s'est-elle inclinée en demi-finale du Major de Copenhague ?,aucun,Gentle Mates
Quel tournoi a marqué la première performance de Kurama sous les couleurs de la Karmine?,Kurama,Genesis 9
